id	상호	지점명	주소	시	구	동네라벨	lat	lng	좌표출처	영업시간	브레이크	휴무	오픈일	상태	상태변경일	형태	형태_대표	스프	스프_대표	스프_세부	계보	편의	태깅확신도	대표메뉴1	대표메뉴2	대표메뉴3	좌석	한줄소개	인스타	네이버플레이스	웨이팅링크	검증상태	최종확인일	정보출처	메모
	코이라멘 종로점		서울특별시 종로구 종로 19, 르메이에르종로타운1 지상 2층 219-2호 (종로1가)				37.570852	126.979919	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	쿄오모라멘		서울특별시 중구 다산로8길 16 (신당동, 1층)				37.552739	127.010288	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	콩나물떡라면집		서울특별시 중구 청파로 445-1, 1층 (중림동)				37.559198	126.968585	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	129라멘하우스		서울특별시 중구 다산로 129, 지하1층 (신당동)				37.555435	127.010729	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	서양라멘		서울특별시 중구 세종대로2가길 26, 1층 (남대문로5가)				37.558084	126.975067	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘담뽀뽀		서울특별시 중구 퇴계로 72 (회현동1가,리더스뷰남산 지하1층 123호, 124호)				37.559121	126.980601	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	신승호 라멘집		서울특별시 중구 필동로 22 (필동3가, 1층)				37.559599	126.996050	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	쿄오모라멘 신당						37.563892	127.014788	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	조선라멘		서울특별시 중구 동호로12길 69, 1층 (신당동)				37.558318	127.011697	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	라멘81번옥		서울특별시 용산구 서빙고로91나길 92, 1층 4호 (동빙고동)				37.524833	126.996228	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
